word,weight
anymore try,-0.017399839678305686
anytime,0.6018061680239191
anyways,-0.1063681196184635
ap,0.3314900516960281
apa,-1.2573163117723956
apart,-0.45260725343289043
apk,0.08545517095949959
aplicacin,-0.3414787639949726
aplication,-0.47346464220659007
aplicativo,0.03737008858699343
aplikasi,-1.5642442241143208
aplikasi ini,0.7074068693474749
apna,-0.4588941174905206
apne,0.24123226679662033
apo,0.9912847623467252
apologize,0.34164475959705115
app,-0.3554930950587025
app able,-1.298227093813807
app absolute,-0.053168258149360326
app absolutely,-0.10091851485308073
app access,-0.44283413229290447
app account,0.3370670743406218
app actually,0.06487006104085591
app ad,0.09694024509395964
app add,0.6928482334580444
app ai,-0.06375795005675
app allow,0.1059758482433008
app alot,0.03202760632893741
app amazing,1.2371327909347833
app android,1.6179832782776713
app annoying,-0.7989315434206428
app anymore,-1.6395197332645044
app app,-0.2804406377522084
app appreciate,0.5189493343463455
app article,0.03083302577667972
app ask,-0.5296894396877392
app automatically,-0.573965781098954
app available,-0.13290306020233897
app awesome,0.2350684214976582
app awful,-0.21703932841512177
app bad,-2.630008511602661
app ban,-0.19743444355622403
app barely,-0.42862977148888415
app basically,-0.10853148446510735
app beautiful,0.5166092608278816
app big,-0.8567933828895222
app bit,0.16395438908412255
app block,0.25260930501918366
app break,-0.38389813011782287
app brightness,-0.3330530283842352
app bring,-0.011421428520433827
app browser,-0.1387057278294718
app bug,-0.256003641552372
app buggy,-0.5312318248756145
app business,0.5219532811762791
app call,-0.2714746908093821
app cause,0.09734809140859947
app change,0.12341431048437923
app chat,1.5762788431662287
app check,-0.3136009109612112
app choose,-0.2074675787361874
app clear,-0.032861919697804075
app click,0.31631228077039936
app close,-0.6198499406027275
app come,-0.06662753130248822
app communicate,0.2332557399125431
app communication,0.9677312426474607
app community,0.3044018073863397
app company,-0.20867155971261206
app complete,-0.2700494606388259
app completely,-0.37929200140865627
app connect,0.5647762743096068
app constantly,-0.16734509624236688
app contact,-0.27807202099838074
app content,-0.10840526258816342
app continue,-0.0877843361784623
app convenient,-0.00809528407522908
app cool,0.6571298429558879
app crash,-0.7924591400946948
app create,0.08405106343068164
app customer,-0.11133915915693128
app daily,0.7200575389531672
app date,-0.3502479775987714
app datum,-0.01180209432451507
app day,-0.27248713327933455
app decide,-0.35991487478739403
app definitely,0.1794590249852116
app delete,-0.8680321025619425
app deserve,0.4378153071311187
app design,0.435262044687439
app developer,0.1255314773636908
app device,-0.5339778882394055
app different,0.15698520783040967
app difficult,0.16202406141461384
app document,0.03241872500927791
app download,0.410102871137496
app dropbox,-0.07158472483079248
app easily,-0.3221348760518564
app easy,0.43296115985991307
app edit,0.11305895989492816
app email,0.08974806467756113
app enjoy,0.3919113699301388
app entertainment,0.07121798063453687
app error,-0.4527916594445301
app especially,0.40210795132053856
app everyday,0.6744353364117245
app excellent,0.3663260030788527
app exist,-0.014542463804995978
app experience,-0.7900982491917157
app extremely,0.017282082099229365
app facebook,-0.05510369881782667
app fail,-0.742118608685857
app family,0.012653937496545855
app fantastic,0.6019776373754143
app far,0.03956006006768913
app fast,0.4703534616792776
app favorite,0.13686575685079602
app favourite,0.05515396721355212
app feature,0.16146604546127152
app feel,-0.28424006409622016
app file,0.3053709059513053
app fill,-0.2604931650140719
app filter,0.3227757813992675
app find,0.04057586442952279
app fine,0.11643626312860655
app fix,-0.19892046086795975
app flipboard,-0.6603038696931601
app force,-0.3600431794064846
app forever,0.5222175136793273
app forget,-0.12093287040641121
app free,-0.2640711403634219
app freeze,-1.2357721996048008
app frequently,-0.8022111184106927
